"Region","County","District","District Name","Charter Status","Staff_Category","Staff","FTE Count","Total Base Pay","Average Base Pay"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","TOTAL ADMINISTRATIVE STAFF","6.58","453998","68950"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD"," ","TOTAL PROFESSIONAL STAFF","80.58","3845399","47722"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","PARAPROFESSIONAL STAFF","EDUCATIONAL AIDE","34.35","484257","14098"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","PARAPROFESSIONAL STAFF","TOTAL PARAPROFESSIONAL STAFF","34.35","484257","14098"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD","AUXILIARY","AUXILIARY","25.81","551526","21366"
"07","ANDERSON COUNTY","001902","CAYUGA ISD","TRADITIONAL ISD/CSD"," ","TOTAL PERSONNEL","140.74","4881182","34682"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","PRE-KINDERGARTEN","4.50","175931","39096"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","KINDERGARTEN","4.50","166756","37057"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ELEMENTARY (GRADES 1-6)","33.58","1319775","39308"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","MIDDLE SCHOOL (GRADES 6 - 8)","2.16","81744","37874"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","SECONDARY (GRADES 7-12)","39.76","1658597","41712"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ALL GRADE LEVELS","12.00","482499","40206"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","TOTAL TEACHING STAFF","96.50","3885302","40263"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","COUNSELOR","3.00","136939","45646"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","LIBRARIAN","1.10","45792","41690"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","OTHR NON-INSTR DISTRICT","3.00","147150","49050"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","SCHOOL NURSE","1.00","28202","28202"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","WORK-BASED LEARNING SITE COOR","0.41","19534","48185"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","TOTAL SUPPORT STAFF","8.50","377617","44406"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","ASSISTANT PRINCIPAL","2.00","110500","55250"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","ATHLETIC DIRECTOR","1.00","51236","51236"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","DIST INSTR PGM DIR OR EXC DIR","2.00","123355","61678"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","PRINCIPAL","2.00","133850","66925"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","SUPERINTENDENT/CAO/CEO/PRESDNT","0.56","41945","75427"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","TOTAL ADMINISTRATIVE STAFF","7.56","460886","60995"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD"," ","TOTAL PROFESSIONAL STAFF","112.56","4723805","41968"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD","AUXILIARY","AUXILIARY","40.20","853947","21244"
"07","ANDERSON COUNTY","001903","ELKHART ISD","TRADITIONAL ISD/CSD"," ","TOTAL PERSONNEL","152.75","5577752","36515"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","PRE-KINDERGARTEN","0.83","25249","30300"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","KINDERGARTEN","4.56","197126","43214"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ELEMENTARY (GRADES 1-6)","26.19","1157693","44210"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","MIDDLE SCHOOL (GRADES 6 - 8)","0.09","4690","50322"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","SECONDARY (GRADES 7-12)","31.90","1309623","41055"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ALL GRADE LEVELS","2.32","86350","37281"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","TOTAL TEACHING STAFF","65.89","2780731","42203"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","COUNSELOR","3.00","143536","47845"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","LIBRARIAN","0.77","37772","48966"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","OTHR NON-INSTR DISTRICT","2.00","121793","60897"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","SCHOOL NURSE","1.00","31716","31716"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","TOTAL SUPPORT STAFF","6.77","334817","49446"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","ASSISTANT PRINCIPAL","0.06","2281","36850"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","ASST/ASSOC/DEPUTY SUPERINTEND.","1.00","70650","70650"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","ATHLETIC DIRECTOR","0.66","40770","62045"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","PRINCIPAL","3.00","206440","68813"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","SUPERINTENDENT/CAO/CEO/PRESDNT","1.00","92000","92000"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","TOTAL ADMINISTRATIVE STAFF","5.72","412141","72065"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD"," ","TOTAL PROFESSIONAL STAFF","78.38","3527689","45008"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","PARAPROFESSIONAL STAFF","EDUCATIONAL AIDE","8.00","134819","16852"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","PARAPROFESSIONAL STAFF","TOTAL PARAPROFESSIONAL STAFF","8.00","134819","16852"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD","AUXILIARY","AUXILIARY","33.89","793007","23399"
"07","ANDERSON COUNTY","001904","FRANKSTON ISD","TRADITIONAL ISD/CSD"," ","TOTAL PERSONNEL","120.27","4455515","37046"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","KINDERGARTEN","2.04","62689","30734"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ELEMENTARY (GRADES 1-6)","14.21","588288","41393"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","MIDDLE SCHOOL (GRADES 6 - 8)","0.62","24958","40307"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","SECONDARY (GRADES 7-12)","12.88","559196","43410"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ALL GRADE LEVELS","3.25","131055","40357"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","TOTAL TEACHING STAFF","33.00","1366186","41399"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","COUNSELOR","1.00","51822","51822"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","SCHOOL NURSE","1.00","33998","33998"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","TOTAL SUPPORT STAFF","2.00","85820","42910"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","PRINCIPAL","2.00","123808","61904"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","SUPERINTENDENT/CAO/CEO/PRESDNT","1.00","83000","83000"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","TOTAL ADMINISTRATIVE STAFF","3.00","206808","68936"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD"," ","TOTAL PROFESSIONAL STAFF","38.00","1658814","43653"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD","PARAPROFESSIONAL STAFF","EDUCATIONAL AIDE","4.88","89382","18307"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD","PARAPROFESSIONAL STAFF","TOTAL PARAPROFESSIONAL STAFF","4.88","89382","18307"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD","AUXILIARY","AUXILIARY","14.91","349965","23465"
"07","ANDERSON COUNTY","001906","NECHES ISD","TRADITIONAL ISD/CSD"," ","TOTAL PERSONNEL","57.80","2098161","36302"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","PRE-KINDERGARTEN","10.83","455405","42055"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","KINDERGARTEN","16.86","672774","39903"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ELEMENTARY (GRADES 1-6)","85.27","3429539","40218"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","MIDDLE SCHOOL (GRADES 6 - 8)","0.25","12479","49579"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","SECONDARY (GRADES 7-12)","83.83","3840839","45817"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ALL GRADE LEVELS","37.62","1604723","42662"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","TOTAL TEACHING STAFF","234.66","10015759","42682"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","ATHLETIC TRAINER","0.10","5561","56002"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","COUNSELOR","7.00","354464","50638"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","DEPARTMENT HEAD","0.23","12031","51393"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","EDUCATIONAL DIAGNOSTICIAN","4.00","196509","49127"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","LIBRARIAN","1.88","90582","48218"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","OTHER CAMP PROF PERSONNEL","1.00","50125","50125"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","OTHR NON-INSTR DISTRICT","5.41","322025","59516"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","SCHOOL NURSE","6.00","147292","24549"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","SPEECH THRPST/SPEECH-LANG PATH","1.00","65743","65743"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","TRUANT OFF/VISIT TEACHER","1.00","63188","63188"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","WORK-BASED LEARNING SITE COOR","0.66","34857","52846"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","TOTAL SUPPORT STAFF","28.28","1342377","47464"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","ASSISTANT PRINCIPAL","8.50","482753","56794"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","ASST/ASSOC/DEPUTY SUPERINTEND.","2.00","182119","91060"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","ATHLETIC DIRECTOR","0.42","34336","82400"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","BUSINESS MANAGER","1.00","79000","79000"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","DIST INSTR PGM DIR OR EXC DIR","2.00","139622","69811"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","PRINCIPAL","6.00","447241","74540"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","SUPERINTENDENT/CAO/CEO/PRESDNT","1.00","112831","112831"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","TEACHER SUPERVISOR","1.00","62748","62748"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","TOTAL ADMINISTRATIVE STAFF","21.92","1540650","70296"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD"," ","TOTAL PROFESSIONAL STAFF","284.86","12898786","45281"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","PARAPROFESSIONAL STAFF","EDUCATIONAL AIDE","61.19","1028444","16808"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","PARAPROFESSIONAL STAFF","TOTAL PARAPROFESSIONAL STAFF","61.19","1028444","16808"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD","AUXILIARY","AUXILIARY","85.70","2114315","24672"
"07","ANDERSON COUNTY","001907","PALESTINE ISD","TRADITIONAL ISD/CSD"," ","TOTAL PERSONNEL","431.74","16041545","37155"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","PRE-KINDERGARTEN","2.00","93814","46907"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","KINDERGARTEN","7.33","260144","35474"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ELEMENTARY (GRADES 1-6)","41.62","1710431","41098"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","MIDDLE SCHOOL (GRADES 6 - 8)","2.37","109322","46209"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","SECONDARY (GRADES 7-12)","53.30","2158559","40496"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ALL GRADE LEVELS","14.10","615658","43677"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","NOT APPLICABLE","0.14","5883","43130"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","TOTAL TEACHING STAFF","120.85","4953811","40990"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","COUNSELOR","3.89","190680","49042"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","EDUCATIONAL DIAGNOSTICIAN","1.00","57704","57704"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","LIBRARIAN","1.00","48708","48708"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","OTHR NON-INSTR DISTRICT","4.88","188602","38648"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","SCHOOL NURSE","2.00","71864","35932"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","TOTAL SUPPORT STAFF","12.77","557558","43668"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","ASSISTANT PRINCIPAL","2.00","103640","51820"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","BUSINESS MANAGER","1.00","56735","56735"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","DIST INSTR PGM DIR OR EXC DIR","1.00","62155","62155"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","PRINCIPAL","4.00","265480","66370"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","SUPERINTENDENT/CAO/CEO/PRESDNT","1.00","115895","115895"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","TOTAL ADMINISTRATIVE STAFF","9.00","603905","67101"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD"," ","TOTAL PROFESSIONAL STAFF","142.62","6115274","42878"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","PARAPROFESSIONAL STAFF","EDUCATIONAL AIDE","19.00","256719","13512"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","PARAPROFESSIONAL STAFF","TOTAL PARAPROFESSIONAL STAFF","19.00","256719","13512"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD","AUXILIARY","AUXILIARY","51.55","1015460","19699"
"07","ANDERSON COUNTY","001908","WESTWOOD ISD","TRADITIONAL ISD/CSD"," ","TOTAL PERSONNEL","213.17","7387453","34655"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","PRE-KINDERGARTEN","2.00","91011","45506"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","KINDERGARTEN","2.49","101513","40785"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ELEMENTARY (GRADES 1-6)","14.23","620148","43596"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","MIDDLE SCHOOL (GRADES 6 - 8)","1.33","64707","48710"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","SECONDARY (GRADES 7-12)","13.70","605368","44198"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ALL GRADE LEVELS","3.74","150455","40242"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","TOTAL TEACHING STAFF","37.48","1633202","43578"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","COUNSELOR","1.00","53251","53251"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","LIBRARIAN","1.00","39056","39056"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD","SUPPORT STAFF","TOTAL SUPPORT STAFF","2.00","92307","46154"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","BUSINESS MANAGER","1.00","52654","52654"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","PRINCIPAL","2.00","126323","63162"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","SUPERINTENDENT/CAO/CEO/PRESDNT","1.00","86000","86000"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD","ADMINISTRATIVE STAFF","TOTAL ADMINISTRATIVE STAFF","4.00","264977","66244"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD"," ","TOTAL PROFESSIONAL STAFF","43.48","1990486","45781"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD","AUXILIARY","AUXILIARY","14.74","283303","19222"
"07","ANDERSON COUNTY","001909","SLOCUM ISD","TRADITIONAL ISD/CSD"," ","TOTAL PERSONNEL","58.22","2273789","39058"
"18","ANDREWS COUNTY","002901","ANDREWS ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","PRE-KINDERGARTEN","4.00","222273","55568"
"18","ANDREWS COUNTY","002901","ANDREWS ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","KINDERGARTEN","15.41","816381","52967"
"18","ANDREWS COUNTY","002901","ANDREWS ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","ELEMENTARY (GRADES 1-6)","90.39","4899402","54200"
"18","ANDREWS COUNTY","002901","ANDREWS ISD","TRADITIONAL ISD/CSD","TEACHING STAFF","MIDDLE SCHOOL (GRADES 6 - 8)","3.01","170989","56883"
