District_Id,District_Name,Charter_Flag
15823,"SAN ANTONIO TECHNOLOGY  ACADEMY,SAN ANTONIO TECHNOLOGY ACADEMY",1
15824,SAN ANTONIO PREPARATORY ACADEMY,0
15825,LIGHTHOUSE CHARTER SCHOOL,1
15826,"KIPP ASPIRE ACADEMY,KIPP SAN ANTONIO",1
15827,SCHOOL OF SCIENCE AND TECHNOLOGY,1
15828,HARMONY SCIENCE ACAD (SAN ANTONIO),1
15829,GENERAL ALFRED A VALENZUELA INT LE,0
15830,"BROOKS ACADEMY OF SCIENCE AND ENGI,BROOKS ACADEMIES OF TEXAS",1
15831,SCHOOL OF SCIENCE AND TECHNOLOGY D,1
15832,CITY CENTER HEALTH CAREERS,1
15833,HENRY FORD ACADEMY ALAMEDA SCHOOL,1
15834,"BASIS SAN ANTONIO,BASIS TEXAS",1
15835,GREAT HEARTS TEXAS,1
15836,ELEANOR KOLITZ HEBREW LANGUAGE ACA,1
15837,CARPE DIEM SCHOOLS,1
15838,COMPASS ROSE ACADEMY,1
15901,ALAMO HEIGHTS ISD,0
15904,HARLANDALE ISD,0
15905,EDGEWOOD ISD,0
15906,RANDOLPH FIELD ISD,0
15907,SAN ANTONIO ISD,0
15908,SOUTH SAN ANTONIO ISD,0
15909,SOMERSET ISD,0
15910,NORTH EAST ISD,0
15911,EAST CENTRAL ISD,0
15912,SOUTHWEST ISD,0
15913,LACKLAND ISD,0
15914,FT SAM HOUSTON ISD,0
15915,NORTHSIDE ISD,0
15916,JUDSON ISD,0
15917,SOUTHSIDE ISD,0
16901,JOHNSON CITY ISD,0
16902,BLANCO ISD,0
17901,BORDEN COUNTY ISD,0
18901,CLIFTON ISD,0
18902,MERIDIAN ISD,0
18903,MORGAN ISD,0
18904,VALLEY MILLS ISD,0
18905,WALNUT SPRINGS ISD,0
18906,IREDELL ISD,0
18907,KOPPERL ISD,0
18908,CRANFILLS GAP ISD,0
19901,DEKALB ISD,0
19902,HOOKS ISD,0
19903,MAUD ISD,0
19905,NEW BOSTON ISD,0
19906,REDWATER ISD,0
19907,TEXARKANA ISD,0
19908,LIBERTY-EYLAU ISD,0
19909,SIMMS ISD,0
19910,MALTA ISD,0
19911,RED LICK ISD,0
19912,PLEASANT GROVE ISD,0
19913,HUBBARD ISD,0
19914,LEARY ISD,0
20901,ALVIN ISD,0
20902,ANGLETON ISD,0
20904,DANBURY ISD,0
20905,BRAZOSPORT ISD,0
20906,SWEENY ISD,0
20907,COLUMBIA-BRAZORIA ISD,0
20908,PEARLAND ISD,0
20910,DAMON ISD,0
21802,EAGLE ACADEMY OF BRYAN,0
21803,BRAZOS SCHOOL FOR INQUIRY & CREATI,1
21804,HARMONY SCIENCE ACAD (COLLEGE STAT,0
21805,ARROW ACADEMY,1
21901,COLLEGE STATION ISD,0
21902,BRYAN ISD,0
22004,TERLINGUA CSD,0
22901,ALPINE ISD,0
22902,MARATHON ISD,0
22903,SAN VICENTE ISD,0
23902,SILVERTON ISD,0
24801,ENCINO SCHOOL,0
24901,BROOKS COUNTY ISD,0
25901,BANGS ISD,0
25902,BROWNWOOD ISD,0
25904,BLANKET ISD,0
25905,MAY ISD,0
25906,ZEPHYR ISD,0
25908,BROOKESMITH ISD,0
25909,EARLY ISD,0
26901,CALDWELL ISD,0
26902,SOMERVILLE ISD,0
26903,SNOOK ISD,0
27903,BURNET CISD,0
27904,MARBLE FALLS ISD,0
28902,LOCKHART ISD,0
28903,LULING ISD,0
28906,PRAIRIE LEA ISD,0
29901,CALHOUN COUNTY ISD,0
30901,CROSS PLAINS ISD,0
30902,CLYDE CISD,0
30903,BAIRD ISD,0
30906,EULA ISD,0
31802,EAGLE ACADEMY OF BROWNSVILLE,0
31803,HARMONY SCIENCE ACADEMY - BROWNSVI,1
31901,BROWNSVILLE ISD,0
31903,HARLINGEN CISD,0
31905,LA FERIA ISD,0
31906,LOS FRESNOS CISD,0
31909,POINT ISABEL ISD,0
31911,RIO HONDO ISD,0
31912,SAN BENITO CISD,0
31913,SANTA MARIA ISD,0
31914,SANTA ROSA ISD,0
31916,SOUTH TEXAS ISD,0
32902,PITTSBURG ISD,0
33901,GROOM ISD,0
33902,PANHANDLE ISD,0
33904,WHITE DEER ISD,0
34901,ATLANTA ISD,0
34902,AVINGER ISD,0
34903,HUGHES SPRINGS ISD,0
34905,LINDEN-KILDARE CISD,0
34906,MCLEOD ISD,0
34907,QUEEN CITY ISD,0
34908,MARIETTA ISD,0
34909,BLOOMBURG ISD,0
35901,DIMMITT ISD,0
35902,HART ISD,0
35903,NAZARETH ISD,0
36901,ANAHUAC ISD,0
36902,BARBERS HILL ISD,0
36903,EAST CHAMBERS ISD,0
37901,ALTO ISD,0
37904,JACKSONVILLE ISD,0
37907,RUSK ISD,0
37908,NEW SUMMERFIELD ISD,0
37909,WELLS ISD,0
38901,CHILDRESS ISD,0
39901,BYERS ISD,0
39902,HENRIETTA ISD,0
39903,"PETROLIA ISD,PETROLIA CISD",0
39904,BELLEVUE ISD,0
39905,MIDWAY ISD,0
40901,MORTON ISD,0
40902,WHITEFACE CISD,0
41901,BRONTE ISD,0
41902,ROBERT LEE ISD,0
42901,COLEMAN ISD,0
42903,SANTA ANNA ISD,0
42905,PANTHER CREEK CISD,0
42906,NOVICE ISD,0
43801,IMAGINE INTERNATIONAL ACADEMY OF N,1
43802,LONE STAR LANGUAGE ACADEMY,1
43901,ALLEN ISD,0
43902,ANNA ISD,0
43903,CELINA ISD,0
43904,FARMERSVILLE ISD,0
43905,FRISCO ISD,0
43907,MCKINNEY ISD,0
43908,MELISSA ISD,0
43910,PLANO ISD,0
43911,PRINCETON ISD,0
43912,PROSPER ISD,0
43914,WYLIE ISD,0
43917,BLUE RIDGE ISD,0
43918,COMMUNITY ISD,0
43919,LOVEJOY ISD,0
44902,WELLINGTON ISD,0
44904,SAMNORWOOD ISD,0
45902,COLUMBUS ISD,0
45903,RICE CISD,0
45905,WEIMAR ISD,0
46801,NANCY NEY CHARTER SCHOOL,0
46802,TRINITY CHARTER SCHOOL,1
46901,NEW BRAUNFELS ISD,0
46902,COMAL ISD,0
47901,COMANCHE ISD,0
47902,DE LEON ISD,0
47903,GUSTINE ISD,0
47905,SIDNEY ISD,0
48901,EDEN CISD,0
48903,PAINT ROCK ISD,0
49901,GAINESVILLE ISD,0
49902,MUENSTER ISD,0
49903,VALLEY VIEW ISD,0
49905,CALLISBURG ISD,0
49906,ERA ISD,0
49907,LINDSAY ISD,0
49908,WALNUT BEND ISD,0
49909,SIVELLS BEND ISD,0
50901,EVANT ISD,0
50902,GATESVILLE ISD,0
50904,OGLESBY ISD,0
50909,JONESBORO ISD,0
50910,COPPERAS COVE ISD,0
51901,PADUCAH ISD,0
52901,CRANE ISD,0
53001,CROCKETT COUNTY CONSOLIDATED CSD,0
54901,CROSBYTON CISD,0
54902,LORENZO ISD,0
54903,RALLS ISD,0
55901,CULBERSON COUNTY-ALLAMOORE ISD,0
56901,DALHART ISD,0
56902,TEXLINE ISD,0
57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,1
57803,"NORTH HILLS SCHOOL,NORTH HILLS PREPARATORY SCHOOL,UPLIFT EDUCATION - NORTH HILLS PRE,UPLIFT EDUCATION",1
57804,"DALLAS CAN ACADEMY CHARTER,TEXANS CAN ACADEMIES",1
57805,"DALLAS COMMUNITY CHARTER SCHOOL,LUMIN EDUCATION",1
57806,"EAGLE ADVANTAGE SCHOOLS,ADVANTAGE ACADEMY",1
57807,LIFE SCHOOL,1
57808,UNIVERSAL ACADEMY,1
57809,"NOVA CHARTER SCHOOL,NOVA ACADEMY",1
57810,ACADEMY OF DALLAS,1
57811,CHILDREN FIRST ACADEMY OF DALLAS,1
57813,TRINITY BASIN PREPARATORY,1
57814,"DALLAS COUNTY JUVENILE JUSTICE,ACADEMY FOR ACADEMIC EXCELLENCE",1
57815,FAITH FAMILY ACADEMY OF OAK CLIFF,1
57816,"AW BROWN-FELLOWSHIP CHARTER SCHOOL,A W BROWN-FELLOWSHIP LEADERSHIP AC,A W BROWN LEADERSHIP ACADEMY",1
57817,FOCUS LEARNING ACADEMY,1
57818,I AM THAT I AM ACADEMY,0
57819,JEAN MASSIEU ACADEMY,1
57821,"SCHOOL OF LIBERAL ARTS AND SCIENCE,THE SCHOOL OF LIBERAL ARTS AND SCI",0
57823,EAGLE ACADEMY OF DALLAS,0
57825,HONORS ACADEMY,1
57827,"NOVA CHARTER SCHOOL (SOUTHEAST),NOVA ACADEMY (SOUTHEAST),NOVA ACADEMY SOUTHEAST",1
57828,"WINFREE ACADEMY,WINFREE ACADEMY CHARTER SCHOOLS",1
57829,A+ ACADEMY,1
57830,INSPIRED VISION ACADEMY,1
57831,GATEWAY CHARTER ACADEMY,1
57832,ALPHA CHARTER SCHOOL,1
57833,EDUCATION CENTER INTERNATIONAL ACA,1
57834,EVOLUTION ACADEMY CHARTER SCHOOL,1
57835,GOLDEN RULE CHARTER SCHOOL,1
57836,ST ANTHONY SCHOOL,1
57837,"KIPP TRUTH ACADEMY,KIPP DALLAS-FORT WORTH",1
57838,"PEAK ACADEMY,PEAK PREPARATORY SCHOOL,UPLIFT EDUCATION - PEAK PREPARATOR",1
57839,LA ACADEMIA DE ESTRELLAS,1
57840,"RICHLAND COLLEGIATE HS OF MATH SCI,RICHLAND COLLEGIATE HIGH SCHOOL",1
57841,"RECONCILIATION ACADEMY,CITYSCAPE SCHOOLS",1
57842,"WILLIAMS PREPARATORY,UPLIFT EDUCATION - WILLIAMS PREPAR",1
57843,"HAMPTON PREPARATORY,UPLIFT EDUCATION - HAMPTON PREPARA",1
57844,MANARA ACADEMY,1
57845,UME PREPARATORY ACADEMY,1
57846,LEGACY PREPARATORY,1
57847,VILLAGE TECH SCHOOLS,1
57848,INTERNATIONAL LEADERSHIP OF TEXAS,1
57849,TRINITY ENVIRONMENTAL ACADEMY,1
57850,PIONEER TECHNOLOGY & ARTS ACADEMY,1
57851,BRIDGEWAY PREPARATORY ACADEMY,1
57903,CARROLLTON-FARMERS BRANCH ISD,0
57904,CEDAR HILL ISD,0
57905,DALLAS ISD,0
57906,DESOTO ISD,0
57907,DUNCANVILLE ISD,0
57909,GARLAND ISD,0
57910,GRAND PRAIRIE ISD,0
57911,HIGHLAND PARK ISD,0
57912,IRVING ISD,0
57913,LANCASTER ISD,0
57914,MESQUITE ISD,0
57916,RICHARDSON ISD,0
57919,SUNNYVALE ISD,0
57920,WILMER-HUTCHINS ISD,0
57922,COPPELL ISD,0
58902,DAWSON ISD,0
58905,KLONDIKE ISD,0
58906,LAMESA ISD,0
58909,SANDS CISD,0
59901,HEREFORD ISD,0
59902,WALCOTT ISD,0
60902,COOPER ISD,0
60914,FANNINDEL ISD,0
61802,"EDUCATION CENTER,TEXAS EDUCATION CENTERS,NORTH TEXAS COLLEGIATE ACADEMY",1
61803,THE LEGENDS ACADEMY,1
61804,LEADERSHIP PREP SCHOOL,1
61805,TRIVIUM ACADEMY,1
61901,DENTON ISD,0
61902,LEWISVILLE ISD,0
61903,PILOT POINT ISD,0
61905,KRUM ISD,0
61906,PONDER ISD,0
61907,AUBREY ISD,0
61908,SANGER ISD,0
61910,ARGYLE ISD,0
61911,NORTHWEST ISD,0
61912,LAKE DALLAS ISD,0
61914,LITTLE ELM ISD,0
62901,CUERO ISD,0
62902,NORDHEIM ISD,0
62903,YOAKUM ISD,0
62904,YORKTOWN ISD,0
62905,WESTHOFF ISD,0
62906,MEYERSVILLE ISD,0
63903,SPUR ISD,0
63906,PATTON SPRINGS ISD,0
64903,CARRIZO SPRINGS CISD,0
65901,CLARENDON ISD,0
65902,HEDLEY ISD,0
66005,RAMIREZ CSD,0
66901,BENAVIDES ISD,0
66902,SAN DIEGO ISD,0
66903,FREER ISD,0
67902,CISCO ISD,0
67903,EASTLAND ISD,0
67904,GORMAN ISD,0
67907,RANGER ISD,0
67908,RISING STAR ISD,0
68801,RICHARD MILBURN ACADEMY (ECTOR COU,1
68802,COMPASS ACADEMY CHARTER SCHOOL,1
68803,UTPB STEM ACADEMY,1
68901,ECTOR COUNTY ISD,0
69901,ROCKSPRINGS ISD,0
69902,NUECES CANYON CISD,0
70801,WAXAHACHIE FAITH FAMILY ACADEMY,1
70901,AVALON ISD,0
70903,ENNIS ISD,0
70905,FERRIS ISD,0
70907,ITALY ISD,0
70908,MIDLOTHIAN ISD,0
70909,MILFORD ISD,0
70910,PALMER ISD,0
70911,RED OAK ISD,0
70912,WAXAHACHIE ISD,0
70915,MAYPEARL ISD,0
71801,"BURNHAM WOOD CHARTER SCHOOL,BURNHAM WOOD CHARTER SCHOOL DISTRI",1
71803,"PASO DEL NORTE,PASO DEL NORTE ACADEMY CHARTER DIS",1
71804,EL PASO ACADEMY,1
71805,EL PASO SCHOOL OF EXCELLENCE,0
71806,HARMONY SCIENCE ACAD (EL PASO),1
71807,LA FE PREPARATORY SCHOOL,1
71809,VISTA DEL FUTURO CHARTER SCHOOL,1
71810,EL PASO LEADERSHIP ACADEMY,1
71901,CLINT ISD,0
71902,EL PASO ISD,0
71903,FABENS ISD,0
71904,SAN ELIZARIO ISD,0
71905,YSLETA ISD,0
71906,ANTHONY ISD,0
71907,CANUTILLO ISD,0
71908,TORNILLO ISD,0
71909,SOCORRO ISD,0
72801,"PARADIGM ACCELERATED SCHOOL,PARADIGM ACCELERATED CHARTER SCHOO,PREMIER HIGH SCHOOLS",1
72802,ERATH EXCELS ACADEMY INC,1
72901,THREE WAY ISD,0
72902,DUBLIN ISD,0
72903,"STEPHENVILLE,STEPHENVILLE ISD",0
72904,BLUFF DALE ISD,0
72908,HUCKABAY ISD,0
72909,LINGLEVILLE ISD,0
72910,MORGAN MILL ISD,0
73901,CHILTON ISD,0
73903,MARLIN ISD,0
73904,WESTPHALIA ISD,0
73905,ROSEBUD-LOTT ISD,0
74903,BONHAM ISD,0
74904,DODD CITY ISD,0
74905,ECTOR ISD,0
74907,HONEY GROVE ISD,0
74909,LEONARD ISD,0
74911,SAVOY ISD,0
74912,TRENTON ISD,0
74917,SAM RAYBURN ISD,0
75901,FLATONIA ISD,0
75902,LA GRANGE ISD,0
75903,SCHULENBURG ISD,0
75906,FAYETTEVILLE ISD,0
75908,ROUND TOP-CARMINE ISD,0
76903,ROBY CISD,0
76904,ROTAN ISD,0
77901,FLOYDADA ISD,0
77902,LOCKNEY ISD,0
78901,CROWELL ISD,0
79901,LAMAR CISD,0
79906,NEEDVILLE ISD,0
79907,FORT BEND ISD,0
79908,KENDLETON ISD,0
79910,STAFFORD MSD,0
80901,MOUNT VERNON ISD,0
81902,FAIRFIELD ISD,0
81904,TEAGUE ISD,0
81905,WORTHAM ISD,0
81906,DEW ISD,0
82902,DILLEY ISD,0
82903,PEARSALL ISD,0
83901,SEAGRAVES ISD,0
83902,LOOP ISD,0
83903,SEMINOLE ISD,0
84801,MAINLAND PREPARATORY ACADEMY,1
84802,ODYSSEY ACADEMY INC,1
84804,AMBASSADORS PREPARATORY ACADEMY,1
84805,PREMIER LEARNING ACADEMY,1
84901,DICKINSON ISD,0
84902,GALVESTON ISD,0
84903,HIGH ISLAND ISD,0
84904,LA MARQUE ISD,0
84906,TEXAS CITY ISD,0
84908,HITCHCOCK ISD,0
84909,SANTA FE ISD,0
84910,CLEAR CREEK ISD,0
84911,FRIENDSWOOD ISD,0
85902,POST ISD,0
85903,SOUTHLAND ISD,0
86024,DOSS CONSOLIDATED CSD,0
86901,FREDERICKSBURG ISD,0
86902,HARPER ISD,0
87901,GLASSCOCK COUNTY ISD,0
88902,GOLIAD ISD,0
89901,GONZALES ISD,0
89903,NIXON-SMILEY CISD,0
89905,WAELDER ISD,0
90902,LEFORS ISD,0
90903,MCLEAN ISD,0
90904,PAMPA ISD,0
90905,GRANDVIEW-HOPKINS ISD,0
91901,BELLS ISD,0
91902,COLLINSVILLE ISD,0
91903,DENISON ISD,0
91905,HOWE ISD,0
91906,SHERMAN ISD,0
91907,TIOGA ISD,0
91908,VAN ALSTYNE ISD,0
91909,WHITESBORO ISD,0
91910,WHITEWRIGHT ISD,0
91913,POTTSBORO ISD,0
91914,S AND S CISD,0
91917,GUNTER ISD,0
91918,TOM BEAN ISD,0
92801,EAST TEXAS CHARTER SCHOOLS,1
92901,GLADEWATER ISD,0
92902,KILGORE ISD,0
92903,LONGVIEW ISD,0
92904,PINE TREE ISD,0
92906,SABINE ISD,0
92907,SPRING HILL ISD,0
92908,WHITE OAK ISD,0
93901,ANDERSON-SHIRO CISD,0
93903,IOLA ISD,0
93904,NAVASOTA ISD,0
93905,RICHARDS ISD,0
94901,SEGUIN ISD,0
94902,SCHERTZ-CIBOLO-U CITY ISD,0
94903,NAVARRO ISD,0
94904,MARION ISD,0
95901,ABERNATHY ISD,0
95902,COTTON CENTER ISD,0
95903,HALE CENTER ISD,0
95904,PETERSBURG ISD,0
95905,PLAINVIEW ISD,0
96904,MEMPHIS ISD,0
96905,TURKEY-QUITAQUE ISD,0
97902,HAMILTON ISD,0
97903,HICO ISD,0
98901,GRUVER ISD,0
98903,PRINGLE-MORSE CISD,0
98904,SPEARMAN ISD,0
99902,CHILLICOTHE ISD,0
99903,QUANAH ISD,0
100903,KOUNTZE ISD,0
100904,SILSBEE ISD,0
100905,HARDIN-JEFFERSON ISD,0
100907,LUMBERTON ISD,0
100908,WEST HARDIN COUNTY CISD,0
101801,MEDICAL CENTER CHARTER SCHOOL,1
101802,SER-NINOS CHARTER SCHOOL,1
101803,"WEST HOUSTON CHARTER SCHOOL,ARISTOI CLASSICAL ACADEMY",1
101804,GEORGE I SANCHEZ CHARTER,1
101805,"GIRLS & BOYS PREP ACADEMY,GIRLS & BOYS PREPARATORY ACADEMY",1
101806,"RAUL YZAGUIRRE SCHOOL FOR SUCCESS,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS",1
101807,UNIVERSITY OF HOUSTON CHARTER SCHO,1
101809,"BAY AREA CHARTER SCHOOL,BAY AREA CHARTER INC",1
101810,ACADEMY OF ACCELERATED LEARNING IN,1
101811,"HARRIS COUNTY JUVENILE JUSTICE CHA,EXCEL ACADEMY",1
101812,HOUSTON CAN ACADEMY CHARTER SCHOOL,1
101813,KIPP INC CHARTER,1
101814,"VARNETT CHARTER SCHOOL,THE VARNETT PUBLIC SCHOOL",1
101815,ALIEF MONTESSORI COMMUNITY SCHOOL,1
101817,ALPHONSO CRUTCH'S-LIFE SUPPORT CEN,0
101818,AMERICAN ACADEMY OF EXCELLENCE CHA,0
101819,"AMIGOS POR VIDA-FRIENDS FOR LIFE C,AMIGOS POR VIDA-FRIENDS FOR LIFE P",1
101820,BENJI'S SPECIAL EDUCATIONAL ACADEM,0
101821,HOUSTON HEIGHTS HIGH SCHOOL,1
101822,JAMIE'S HOUSE CHARTER SCHOOL,1
101823,CHILDREN FIRST ACADEMY OF HOUSTON,0
101827,CROSSROADS COMMUNITY ED CTR CHARTE,0
101828,HOUSTON GATEWAY ACADEMY INC,1
101829,HOUSTON HEIGHTS LEARNING ACADEMY I,1
101831,JESSE JACKSON ACADEMY,0
101833,LA AMISTAD LOVE & LEARNING ACADEMY,1
101834,NORTH HOUSTON H S FOR BUSINESS,0
101837,CALVIN NELMS CHARTER SCHOOLS,1
101838,SOUTHWEST SCHOOL,1
101840,TWO DIMENSIONS PREPARATORY ACADEMY,1
101842,COMQUEST ACADEMY,1
101843,GULF SHORES ACADEMY,0
101845,"YES COLLEGE PREPARATORY SCHOOL,YES PREPARATORY PUBLIC SCHOOLS,YES PREP PUBLIC SCHOOLS INC",1
101846,HARMONY SCIENCE ACADEMY,1
101847,BEATRICE MAYES INSTITUTE CHARTER S,1
101848,NORTHWEST PREPARATORY,1
101849,ACCELERATED INTERMEDIATE ACADEMY,1
101850,ZOE LEARNING ACADEMY,1
101851,HOUSTON ALTERNATIVE PREPARATORY CH,0
101852,JUAN B GALAVIZ CHARTER SCHOOL,1
101853,"RIPLEY HOUSE CHARTER SCHOOL,PROMISE COMMUNITY SCHOOL",1
101854,RICHARD MILBURN ACADEMY (SUBURBAN,1
101855,MEYERPARK ELEMENTARY,1
101856,DRAW ACADEMY,1
101857,"HARMONY ELEMENTARY,HARMONY SCHOOL OF INNOVATION",0
101858,HARMONY SCHOOL OF EXCELLENCE,1
101859,"STEPPING STONES CHARTER EL,STEP CHARTER SCHOOL",1
101860,KIPP SOUTHEAST HOUSTON,1
101861,THE RHODES SCHOOL,1
101862,HARMONY SCHOOL OF SCIENCE - HOUSTO,1
101863,KOINONIA COMMUNITY LEARNING ACADEM,1
101864,"WALIPP-TSU PREPARATORY ACADEMY,THE LAWSON ACADEMY",1
101865,VICTORY PREP,1
101866,GLOBAL LEARNING VILLAGE,1
101867,FALLBROOK COLLEGE PREPARATORY ACAD,1
101868,THE PRO-VISION ACADEMY,1
101869,C O R E ACADEMY,1
101870,BETA ACADEMY,1
101871,A+ UNLIMITED POTENTIAL,1
101872,ETOILE ACADEMY CHARTER SCHOOL,1
101873,YELLOWSTONE COLLEGE PREPARATORY,1
101874,LEGACY SCHOOL OF SPORT SCIENCES,1
101902,ALDINE ISD,0
101903,ALIEF ISD,0
101905,CHANNELVIEW ISD,0
101906,CROSBY ISD,0
101907,CYPRESS-FAIRBANKS ISD,0
101908,DEER PARK ISD,0
101909,NORTH FOREST ISD,0
101910,GALENA PARK ISD,0
101911,GOOSE CREEK CISD,0
101912,HOUSTON ISD,0
101913,HUMBLE ISD,0
101914,KATY ISD,0
101915,KLEIN ISD,0
101916,LA PORTE ISD,0
101917,PASADENA ISD,0
101919,SPRING ISD,0
101920,SPRING BRANCH ISD,0
101921,TOMBALL ISD,0
101924,SHELDON ISD,0
101925,HUFFMAN ISD,0
102901,KARNACK ISD,0
102902,MARSHALL ISD,0
102903,WASKOM ISD,0
102904,HALLSVILLE ISD,0
102905,HARLETON ISD,0
102906,ELYSIAN FIELDS ISD,0
103901,CHANNING ISD,0
103902,HARTLEY ISD,0
104901,HASKELL CISD,0
104902,ROCHESTER COUNTY LINE ISD,0
104903,RULE ISD,0
104907,PAINT CREEK ISD,0
105801,KATHERINE ANNE PORTER SCHOOL,1
105802,TEXAS PREPARATORY SCHOOL,1
105803,KI CHARTER ACADEMY,1
105902,SAN MARCOS CISD,0
105904,DRIPPING SPRINGS ISD,0
105905,WIMBERLEY ISD,0
105906,HAYS CISD,0
106901,CANADIAN ISD,0
107901,ATHENS ISD,0
107902,BROWNSBORO ISD,0
107904,CROSS ROADS ISD,0
107905,EUSTACE ISD,0
107906,MALAKOFF ISD,0
107907,TRINIDAD ISD,0
107908,MURCHISON ISD,0
107910,LAPOYNOR ISD,0
108801,"ONE STOP MULTISERVICE CHARTER SCHO,INFORMATION REFERRAL RESOURCE ASSI,IGNITE PUBLIC SCHOOLS AND COMMUNIT",1
108802,"TECHNOLOGY EDUCATION CHARTER HIGH,SOUTH TEXAS EDUCATIONAL TECHNOLOGI,HORIZON MONTESSORI PUBLIC SCHOOLS",1
108804,"MID-VALLEY ACADEMY,MIDVALLEY ACADEMY CHARTER DISTRICT,TRIUMPH PUBLIC HIGH SCHOOLS-RIO GR",1
108806,EAGLE ACADEMY OF PHARR/MCALLEN,0
108807,"IDEA  ACADEMY,IDEA  PUBLIC SCHOOLS,IDEA PUBLIC SCHOOLS",1
108808,VANGUARD ACADEMY,1
108809,EXCELLENCE IN LEADERSHIP ACADEMY,1
108902,DONNA ISD,0
108903,EDCOUCH-ELSA ISD,0
108904,EDINBURG CISD,0
108905,HIDALGO ISD,0
108906,MCALLEN ISD,0
108907,MERCEDES ISD,0
108908,MISSION CISD,0
108909,PHARR-SAN JUAN-ALAMO ISD,0
108910,PROGRESO ISD,0
108911,SHARYLAND ISD,0
108912,LA JOYA ISD,0
108913,WESLACO ISD,0
108914,LA VILLA ISD,0
108915,MONTE ALTO ISD,0
108916,VALLEY VIEW ISD,0
109901,ABBOTT ISD,0
109902,BYNUM ISD,0
109903,COVINGTON ISD,0
109904,HILLSBORO ISD,0
109905,HUBBARD ISD,0
109907,ITASCA ISD,0
109908,MALONE ISD,0
109910,MOUNT CALM ISD,0
109911,WHITNEY ISD,0
109912,AQUILLA ISD,0
109913,BLUM ISD,0
109914,PENELOPE ISD,0
110901,ANTON ISD,0
110902,LEVELLAND ISD,0
110905,ROPES ISD,0
110906,SMYER ISD,0
110907,SUNDOWN ISD,0
110908,WHITHARRAL ISD,0
111801,LAKE GRANBURY ACADEMY CHARTER SCHO,1
111901,GRANBURY ISD,0
111902,LIPAN ISD,0
111903,TOLAR ISD,0
112901,SULPHUR SPRINGS ISD,0
112905,CUMBY ISD,0
